cases.0.project.project_id	cases.0.samples.0.tissue_type	file_id	id
TCGA-ESCA	Tumor	cf090b6d-e560-4fc6-ae94-8c8d48167215	cf090b6d-e560-4fc6-ae94-8c8d48167215
TCGA-BRCA	Tumor	a1a6d1dd-a1c6-4c5c-b54d-42de80680bc3	a1a6d1dd-a1c6-4c5c-b54d-42de80680bc3
TCGA-BRCA	Tumor	0ed77a2e-a2c9-4557-8ba3-2c8bade9b792	0ed77a2e-a2c9-4557-8ba3-2c8bade9b792
TCGA-BRCA	Tumor	1ace2a0c-773d-45b5-8fd6-968c88731bbb	1ace2a0c-773d-45b5-8fd6-968c88731bbb
TCGA-BRCA	Tumor	50c7c034-fccb-4eb1-b8db-e0a5d9e50172	50c7c034-fccb-4eb1-b8db-e0a5d9e50172
TCGA-BRCA	Tumor	9415696a-44d9-477f-aba3-0a30ded48778	9415696a-44d9-477f-aba3-0a30ded48778
TCGA-BRCA	Tumor	4af55932-ab7a-41e5-aa7f-fb16ab18c629	4af55932-ab7a-41e5-aa7f-fb16ab18c629
TCGA-BRCA	Tumor	c4afcca9-94e4-4ecd-98d1-0aab86de8685	c4afcca9-94e4-4ecd-98d1-0aab86de8685
TCGA-BRCA	Tumor	2fa144d0-2776-46d9-a7d4-41f68a1d3727	2fa144d0-2776-46d9-a7d4-41f68a1d3727
TCGA-BRCA	Tumor	a2837f64-2441-4d31-befc-514f8526b1f7	a2837f64-2441-4d31-befc-514f8526b1f7
TCGA-BRCA	Tumor	d93c4b85-2617-43d9-8017-ed3a82dc4117	d93c4b85-2617-43d9-8017-ed3a82dc4117
TCGA-BRCA	Tumor	12f8a326-1417-478e-a45e-abdff8b44266	12f8a326-1417-478e-a45e-abdff8b44266
TCGA-BRCA	Tumor	6d0f2c52-47f8-4032-8468-38dcc578ed6a	6d0f2c52-47f8-4032-8468-38dcc578ed6a
TCGA-BRCA	Tumor	1581b466-9502-491e-828b-dd9b721690cb	1581b466-9502-491e-828b-dd9b721690cb
TCGA-BRCA	Tumor	1b8dddf2-89d9-43aa-84c7-1d18e8865106	1b8dddf2-89d9-43aa-84c7-1d18e8865106
TCGA-BRCA	Tumor	641c4e5d-4880-4f5e-9d1e-702cab91a6b4	641c4e5d-4880-4f5e-9d1e-702cab91a6b4
TCGA-BRCA	Tumor	ddb7443e-0dda-40f1-9652-adc025804c85	ddb7443e-0dda-40f1-9652-adc025804c85
TCGA-BRCA	Tumor	26466526-2d6e-4869-a06a-c33344e5fab2	26466526-2d6e-4869-a06a-c33344e5fab2
TCGA-GBM	Tumor	574174d5-f635-414b-ae70-afdd6ec6ddcf	574174d5-f635-414b-ae70-afdd6ec6ddcf
TCGA-GBM	Tumor	74895f90-43ef-4d2e-ab0a-9e7177f9d27c	74895f90-43ef-4d2e-ab0a-9e7177f9d27c
TCGA-GBM	Tumor	b2bfc3b2-5c31-47aa-b008-5b959d0f8b0a	b2bfc3b2-5c31-47aa-b008-5b959d0f8b0a
TCGA-GBM	Tumor	69d44ffd-6b61-487d-b4c7-5808913f671c	69d44ffd-6b61-487d-b4c7-5808913f671c
TCGA-GBM	Tumor	2f3ed4ce-16b8-447d-9b18-d1e95d21de76	2f3ed4ce-16b8-447d-9b18-d1e95d21de76
TCGA-GBM	Tumor	6827c4ab-4d67-41a3-9e37-b540f5d7c703	6827c4ab-4d67-41a3-9e37-b540f5d7c703
TCGA-GBM	Tumor	4c8938ac-74ea-46f3-af36-8aa38d01e380	4c8938ac-74ea-46f3-af36-8aa38d01e380
TCGA-GBM	Tumor	77b98b70-9bef-4e81-9eac-91467c322d4b	77b98b70-9bef-4e81-9eac-91467c322d4b
TCGA-GBM	Tumor	9930cbcd-1db8-433a-bbe1-2a821edc3000	9930cbcd-1db8-433a-bbe1-2a821edc3000
TCGA-ESCA	Tumor	70d767a9-c20a-4dfa-ae6b-2dd6d509c96c	70d767a9-c20a-4dfa-ae6b-2dd6d509c96c
TCGA-ESCA	Tumor	f2419137-98b4-4df4-8df0-8dbf34512408	f2419137-98b4-4df4-8df0-8dbf34512408
TCGA-ESCA	Tumor	1ab7c102-7ccc-4afb-b0e7-ae0f95350f38	1ab7c102-7ccc-4afb-b0e7-ae0f95350f38
TCGA-BRCA	Tumor	3ce988e2-61c5-4f53-b9c8-cfc280649c1f	3ce988e2-61c5-4f53-b9c8-cfc280649c1f
TCGA-BRCA	Tumor	5db109b6-dbfe-4ec8-8697-bb7fff5beb4b	5db109b6-dbfe-4ec8-8697-bb7fff5beb4b
TCGA-BRCA	Tumor	406cb497-badd-4bbe-be62-e1dac7b49180	406cb497-badd-4bbe-be62-e1dac7b49180
TCGA-BRCA	Tumor	2aa3a845-cce2-4fe2-92f7-1fece9e619d5	2aa3a845-cce2-4fe2-92f7-1fece9e619d5
TCGA-BRCA	Normal	934935ae-037b-451d-a696-0679b07bd401	934935ae-037b-451d-a696-0679b07bd401
TCGA-BRCA	Tumor	1f9a9190-4157-457e-9794-a9217d2aa2f8	1f9a9190-4157-457e-9794-a9217d2aa2f8
TCGA-BRCA	Tumor	280141da-fd54-4901-bc15-5d106c56fb23	280141da-fd54-4901-bc15-5d106c56fb23
